,obsHistID,long_filter,expMJD,fieldID,fieldRA,fieldDec,fiveSigmaDepth,EBV_MW,zp
0,1742,LSST_z,59582.171539,2786,2.624318,0.049506,22.310566,0.01759243998155092,22.098458212867378
1,2063,LSST_u,59582.324188,2786,2.624318,0.049506,22.881148,0.01759243998155092,20.22199548943686
2,2064,LSST_u,59582.324605,2786,2.624318,0.049506,22.739598,0.01759243998155092,20.22199548943686
3,2065,LSST_u,59582.325021,2786,2.624318,0.049506,22.887015,0.01759243998155092,20.22199548943686
4,2066,LSST_u,59582.325438,2786,2.624318,0.049506,22.887092,0.01759243998155092,20.22199548943686
5,2067,LSST_u,59582.325855,2786,2.624318,0.049506,22.887159,0.01759243998155092,20.22199548943686
6,2068,LSST_u,59582.326271,2786,2.624318,0.049506,22.887216,0.01759243998155092,20.22199548943686
7,2069,LSST_u,59582.326688,2786,2.624318,0.049506,22.887262,0.01759243998155092,20.22199548943686
8,2070,LSST_u,59582.327105,2786,2.624318,0.049506,22.887298,0.01759243998155092,20.22199548943686
9,2071,LSST_u,59582.327521,2786,2.624318,0.049506,22.887323,0.01759243998155092,20.22199548943686
10,2072,LSST_u,59582.327938,2786,2.624318,0.049506,22.887339,0.01759243998155092,20.22199548943686
11,2073,LSST_u,59582.328355,2786,2.624318,0.049506,22.879163,0.01759243998155092,20.22199548943686
12,2074,LSST_u,59582.328771,2786,2.624318,0.049506,22.879157,0.01759243998155092,20.22199548943686
13,2075,LSST_u,59582.329188,2786,2.624318,0.049506,22.87914,0.01759243998155092,20.22199548943686
14,2076,LSST_u,59582.329605,2786,2.624318,0.049506,22.879113,0.01759243998155092,20.22199548943686
15,2077,LSST_u,59582.330021,2786,2.624318,0.049506,22.879076,0.01759243998155092,20.22199548943686
16,2078,LSST_u,59582.330438,2786,2.624318,0.049506,22.879027,0.01759243998155092,20.22199548943686
17,2079,LSST_u,59582.330855,2786,2.624318,0.049506,22.878968,0.01759243998155092,20.22199548943686
18,2080,LSST_u,59582.331271,2786,2.624318,0.049506,22.8789,0.01759243998155092,20.22199548943686
19,2081,LSST_u,59582.331688,2786,2.624318,0.049506,22.983573,0.01759243998155092,20.22199548943686
20,2082,LSST_u,59582.332105,2786,2.624318,0.049506,22.983483,0.01759243998155092,20.22199548943686
21,2589,LSST_u,59583.236928,2786,2.624318,0.049506,22.863987,0.01759243998155092,20.22199548943686
22,2590,LSST_u,59583.237345,2786,2.624318,0.049506,22.874244,0.01759243998155092,20.22199548943686
23,2591,LSST_u,59583.237761,2786,2.624318,0.049506,22.876911,0.01759243998155092,20.22199548943686
24,2592,LSST_u,59583.238178,2786,2.624318,0.049506,22.888283,0.01759243998155092,20.22199548943686
25,2593,LSST_u,59583.238595,2786,2.624318,0.049506,22.890914,0.01759243998155092,20.22199548943686
26,2594,LSST_u,59583.239011,2786,2.624318,0.049506,22.893528,0.01759243998155092,20.22199548943686
27,2595,LSST_u,59583.239428,2786,2.624318,0.049506,22.896124,0.01759243998155092,20.22199548943686
28,2596,LSST_u,59583.239845,2786,2.624318,0.049506,22.898704,0.01759243998155092,20.22199548943686
29,2597,LSST_u,59583.240261,2786,2.624318,0.049506,22.901266,0.01759243998155092,20.22199548943686
30,2598,LSST_u,59583.240678,2786,2.624318,0.049506,22.90381,0.01759243998155092,20.22199548943686
31,2599,LSST_u,59583.241095,2786,2.624318,0.049506,22.906338,0.01759243998155092,20.22199548943686
32,2600,LSST_u,59583.241511,2786,2.624318,0.049506,23.078472,0.01759243998155092,20.22199548943686
33,2601,LSST_u,59583.241928,2786,2.624318,0.049506,23.080966,0.01759243998155092,20.22199548943686
34,2602,LSST_u,59583.242345,2786,2.624318,0.049506,23.083443,0.01759243998155092,20.22199548943686
35,2603,LSST_u,59583.242761,2786,2.624318,0.049506,23.085904,0.01759243998155092,20.22199548943686
36,2604,LSST_u,59583.243178,2786,2.624318,0.049506,23.088347,0.01759243998155092,20.22199548943686
37,2605,LSST_u,59583.243595,2786,2.624318,0.049506,23.090774,0.01759243998155092,20.22199548943686
38,2606,LSST_u,59583.244011,2786,2.624318,0.049506,23.093185,0.01759243998155092,20.22199548943686
39,2607,LSST_u,59583.244428,2786,2.624318,0.049506,23.095579,0.01759243998155092,20.22199548943686
40,2608,LSST_u,59583.244845,2786,2.624318,0.049506,23.20801,0.01759243998155092,20.22199548943686
41,3308,LSST_u,59584.239299,2786,2.624318,0.049506,22.972741,0.01759243998155092,20.22199548943686
42,3309,LSST_u,59584.239715,2786,2.624318,0.049506,22.98125,0.01759243998155092,20.22199548943686
43,3310,LSST_u,59584.240132,2786,2.624318,0.049506,22.983706,0.01759243998155092,20.22199548943686
44,3311,LSST_u,59584.240549,2786,2.624318,0.049506,22.986146,0.01759243998155092,20.22199548943686
45,3312,LSST_u,59584.240965,2786,2.624318,0.049506,22.988569,0.01759243998155092,20.22199548943686
46,3313,LSST_u,59584.241382,2786,2.624318,0.049506,22.943346,0.01759243998155092,20.22199548943686
47,3314,LSST_u,59584.241799,2786,2.624318,0.049506,22.945737,0.01759243998155092,20.22199548943686
48,3315,LSST_u,59584.242215,2786,2.624318,0.049506,22.94811,0.01759243998155092,20.22199548943686
49,3316,LSST_u,59584.242632,2786,2.624318,0.049506,22.950468,0.01759243998155092,20.22199548943686
50,3317,LSST_u,59584.243049,2786,2.624318,0.049506,22.95281,0.01759243998155092,20.22199548943686
51,3318,LSST_u,59584.243465,2786,2.624318,0.049506,22.955135,0.01759243998155092,20.22199548943686
52,3319,LSST_u,59584.243882,2786,2.624318,0.049506,22.957444,0.01759243998155092,20.22199548943686
53,3320,LSST_u,59584.244299,2786,2.624318,0.049506,22.959738,0.01759243998155092,20.22199548943686
54,3321,LSST_u,59584.244715,2786,2.624318,0.049506,22.962015,0.01759243998155092,20.22199548943686
55,3322,LSST_u,59584.245132,2786,2.624318,0.049506,23.018341,0.01759243998155092,20.22199548943686
56,3323,LSST_u,59584.245549,2786,2.624318,0.049506,23.020588,0.01759243998155092,20.22199548943686
57,3324,LSST_u,59584.245965,2786,2.624318,0.049506,23.022818,0.01759243998155092,20.22199548943686
58,3325,LSST_u,59584.246382,2786,2.624318,0.049506,23.025033,0.01759243998155092,20.22199548943686
59,3326,LSST_u,59584.246799,2786,2.624318,0.049506,23.027232,0.01759243998155092,20.22199548943686
60,3327,LSST_u,59584.247215,2786,2.624318,0.049506,23.029415,0.01759243998155092,20.22199548943686
61,4017,LSST_u,59585.232376,2786,2.624318,0.049506,22.838951,0.01759243998155092,20.22199548943686
62,4018,LSST_u,59585.232793,2786,2.624318,0.049506,22.847867,0.01759243998155092,20.22199548943686
63,4019,LSST_u,59585.23321,2786,2.624318,0.049506,22.850495,0.01759243998155092,20.22199548943686
64,4020,LSST_u,59585.233626,2786,2.624318,0.049506,22.853106,0.01759243998155092,20.22199548943686
65,4021,LSST_u,59585.234043,2786,2.624318,0.049506,22.855699,0.01759243998155092,20.22199548943686
66,4022,LSST_u,59585.23446,2786,2.624318,0.049506,22.782931,0.01759243998155092,20.22199548943686
67,4023,LSST_u,59585.234876,2786,2.624318,0.049506,22.78549,0.01759243998155092,20.22199548943686
68,4024,LSST_u,59585.235293,2786,2.624318,0.049506,22.788032,0.01759243998155092,20.22199548943686
69,4025,LSST_u,59585.23571,2786,2.624318,0.049506,22.790557,0.01759243998155092,20.22199548943686
70,4026,LSST_u,59585.236126,2786,2.624318,0.049506,22.793064,0.01759243998155092,20.22199548943686
71,4027,LSST_u,59585.236543,2786,2.624318,0.049506,22.795555,0.01759243998155092,20.22199548943686
72,4028,LSST_u,59585.23696,2786,2.624318,0.049506,22.798029,0.01759243998155092,20.22199548943686
73,4029,LSST_u,59585.237376,2786,2.624318,0.049506,22.800487,0.01759243998155092,20.22199548943686
74,4030,LSST_u,59585.237793,2786,2.624318,0.049506,22.802927,0.01759243998155092,20.22199548943686
75,4031,LSST_u,59585.23821,2786,2.624318,0.049506,22.855558,0.01759243998155092,20.22199548943686
76,4032,LSST_u,59585.238626,2786,2.624318,0.049506,22.857965,0.01759243998155092,20.22199548943686
77,4033,LSST_u,59585.239043,2786,2.624318,0.049506,22.860356,0.01759243998155092,20.22199548943686
78,4034,LSST_u,59585.23946,2786,2.624318,0.049506,22.862731,0.01759243998155092,20.22199548943686
79,4035,LSST_u,59585.239876,2786,2.624318,0.049506,22.86509,0.01759243998155092,20.22199548943686
80,4036,LSST_u,59585.240293,2786,2.624318,0.049506,22.867433,0.01759243998155092,20.22199548943686
81,4734,LSST_u,59586.233163,2786,2.624318,0.049506,22.689269,0.01759243998155092,20.22199548943686
82,4735,LSST_u,59586.233579,2786,2.624318,0.049506,22.700084,0.01759243998155092,20.22199548943686
83,4736,LSST_u,59586.233996,2786,2.624318,0.049506,22.702568,0.01759243998155092,20.22199548943686
